0.23608 536
0.261232 1072
0.265952 1608
0.291104 2144
0.295824 2680
0.298816 3000
0.320976 3536
0.32512 4000
0.32984 4536
0.345552 5000
0.350272 5536
0.354416 6000
0.37472 6536
0.378864 7000
0.401387 7536
0.405531 8000
0.428053 8536
0.432197 9000
0.45472 9536
0.458864 10000
0.481387 10536
0.485531 11000
0.508053 11536
0.512197 12000
0.537488 12536
0.541632 13000
0.561387 13536
0.565531 14000
0.588053 14536
0.592197 15000
0.61472 15536
0.618864 16000
0.641387 16536
0.645531 17000
0.668053 17536
0.672197 18000
0.695221 18536
0.699365 19000
0.729813 19536
0.733957 20000
0.761701 20536
0.765845 21000
0.790133 21536
0.794277 22000
0.816725 22536
0.820869 23000
0.843781 23536
0.847925 24000
0.870373 24536
0.874517 25000
0.902117 25536
0.906261 26000
0.928709 26536
0.932853 27000
0.964741 27536
0.968885 28000
0.991333 28536
0.995477 29000
1.03209 29536
1.03623 30000
1.05868 30536
1.06282 31000
1.08573 31536
1.08988 32000
1.12649 32536
1.13063 33000
1.15308 33536
1.15722 34000
1.18482 34536
1.18897 35000
1.23973 35536
1.24388 36000
1.26633 36536
1.27047 37000
1.30236 37536
1.3065 38000
1.32981 38536
1.33396 39000
1.37586 39536
1.38001 40000
1.40775 40536
1.41189 41000
1.42548 41536
1.42962 42000
1.45737 42536
1.46151 43000
1.47509 43536
1.47924 44000
1.52114 44536
1.52529 45000
1.56719 45536
1.57133 46000
1.58535 46536
1.58949 47000
1.60308 47536
1.60722 48000
1.63497 48536
1.63911 49000
1.67157 49536
1.67572 50000
1.70308 50536
1.70722 51000
1.72114 51536
1.72529 52000
1.73954 52536
1.74369 53000
1.7577 53536
1.76185 54000
1.79431 54536
1.79845 55000
