0	 EQ 	1
0	 DQ 	0
0.2	 EQ 	1
0.2	 DQ 	0
0.220928	 EQ 	1
0.220928	 DQ 	0
0.220928	 EQ 	1
0.22136	 DQ 	0
0.246512	 EQ 	1
0.246512	 DQ 	0
0.246512	 EQ 	1
0.251232	 DQ 	0
0.276384	 EQ 	1
0.276384	 DQ 	0
0.276384	 EQ 	1
0.276384	 EQ 	2
0.281104	 DQ 	1
0.285824	 DQ 	0
0.306256	 EQ 	1
0.306256	 DQ 	0
0.306256	 EQ 	1
0.306667	 EQ 	2
0.310976	 DQ 	1
0.31512	 DQ 	0
0.331408	 EQ 	1
0.331408	 DQ 	0
0.333333	 EQ 	1
0.333333	 EQ 	2
0.335552	 DQ 	1
0.340272	 DQ 	0
0.36	 EQ 	1
0.36	 DQ 	0
0.36	 EQ 	1
0.36472	 DQ 	0
0.386667	 EQ 	1
0.386667	 DQ 	0
0.386667	 EQ 	1
0.391387	 DQ 	0
0.4	 EQ 	1
0.4	 DQ 	0
0.413333	 EQ 	1
0.413333	 DQ 	0
0.413333	 EQ 	1
0.418053	 DQ 	0
0.420928	 EQ 	1
0.420928	 EQ 	2
0.422197	 DQ 	1
0.422629	 DQ 	0
0.44	 EQ 	1
0.44	 DQ 	0
0.44	 EQ 	1
0.44472	 DQ 	0
0.447781	 EQ 	1
0.447781	 EQ 	2
0.448864	 DQ 	1
0.453584	 DQ 	0
0.466667	 EQ 	1
0.466667	 DQ 	0
0.466667	 EQ 	1
0.471387	 DQ 	0
0.478736	 EQ 	1
0.478736	 DQ 	0
0.478736	 EQ 	1
0.478736	 EQ 	2
0.483456	 DQ 	1
0.488176	 DQ 	0
0.493333	 EQ 	1
0.493333	 DQ 	0
0.493333	 EQ 	1
0.498053	 DQ 	0
0.508608	 EQ 	1
0.508608	 DQ 	0
0.508608	 EQ 	1
0.508608	 EQ 	2
0.513328	 DQ 	1
0.518048	 DQ 	0
0.52	 EQ 	1
0.52	 EQ 	2
0.522768	 DQ 	1
0.527488	 DQ 	0
0.53376	 EQ 	1
0.53376	 DQ 	0
0.53376	 EQ 	1
0.53376	 EQ 	2
0.53848	 DQ 	1
0.5432	 DQ 	0
0.546667	 EQ 	1
0.546667	 DQ 	0
0.546667	 EQ 	1
0.551387	 DQ 	0
0.56	 EQ 	1
0.56	 DQ 	0
0.56	 EQ 	1
0.56472	 DQ 	0
0.573333	 EQ 	1
0.573333	 DQ 	0
0.573333	 EQ 	1
0.578053	 DQ 	0
0.586667	 EQ 	1
0.586667	 DQ 	0
0.586667	 EQ 	1
0.591387	 DQ 	0
0.6	 EQ 	1
0.6	 DQ 	0
0.6	 EQ 	1
0.6	 EQ 	2
0.60472	 DQ 	1
0.608864	 DQ 	0
0.613333	 EQ 	1
0.613333	 DQ 	0
